column_name,code,value
PAISCOM,053,Arabia saudita
PAISCOM,059,Argelia
PAISCOM,063,Argentina
PAISCOM,069,Australia
PAISCOM,072,Austria
PAISCOM,074,Azerbaijan
PAISCOM,077,Bahamas
PAISCOM,080,Bahrein
PAISCOM,081,Bangladesh
PAISCOM,083,Barbados
PAISCOM,087,Belgica
PAISCOM,088,Belice
PAISCOM,090,Bermudas
PAISCOM,091,Belarus
PAISCOM,093,Birmania (myanmar)
PAISCOM,097,Bolivia
PAISCOM,101,Botswana
PAISCOM,105,Brasil
PAISCOM,108,Brunei darussalam
PAISCOM,111,Bulgaria
PAISCOM,115,Burundi
PAISCOM,119,Butan
PAISCOM,127,Cabo verde
PAISCOM,137,"Caiman, islas"
PAISCOM,141,Camboya (kampuchea)
PAISCOM,145,"Camerun, republica unida del"
PAISCOM,149,Canada
PAISCOM,159,Santa sede
PAISCOM,165,"Cocos (keeling), islas"
PAISCOM,169,Colombia
PAISCOM,173,Comoras
PAISCOM,177,Congo
PAISCOM,183,"Cook, islas"
PAISCOM,187,"Corea (norte), republica popular democratica de"
PAISCOM,190,"Corea (sur), republica de"
PAISCOM,193,Costa de marfil
PAISCOM,196,Costa rica
PAISCOM,198,Croacia
PAISCOM,199,Cuba
PAISCOM,203,Chad
PAISCOM,211,Chile
PAISCOM,215,China
PAISCOM,218,Taiwan (formosa)
PAISCOM,221,Chipre
PAISCOM,229,Benin
PAISCOM,232,Dinamarca
PAISCOM,235,Dominica
PAISCOM,239,Ecuador
PAISCOM,240,Egipto
PAISCOM,242,El salvador
PAISCOM,243,Eritrea
PAISCOM,244,Emiratos arabes unidos
PAISCOM,245,España
PAISCOM,246,Eslovaquia
PAISCOM,247,Eslovenia
PAISCOM,249,Estados unidos
PAISCOM,251,Estonia
PAISCOM,253,Etiopia
PAISCOM,259,"Feroe, islas"
PAISCOM,267,Filipinas
PAISCOM,271,Finlandia
PAISCOM,275,Francia
PAISCOM,281,Gabon
PAISCOM,285,Gambia
PAISCOM,287,Georgia
PAISCOM,289,Ghana
PAISCOM,293,Gibraltar
PAISCOM,297,Granada
PAISCOM,301,Grecia
PAISCOM,305,Groenlandia
PAISCOM,309,Guadalupe
PAISCOM,313,Guam
PAISCOM,317,Guatemala
PAISCOM,325,Guayana francesa
PAISCOM,329,Guinea
PAISCOM,331,Guinea ecuatorial
PAISCOM,334,Guinea-bissau
PAISCOM,337,Guyana
PAISCOM,341,Haiti
PAISCOM,345,Honduras
PAISCOM,351,Hong kong
PAISCOM,355,Hungria
PAISCOM,361,India
PAISCOM,365,Indonesia
PAISCOM,369,Irak
PAISCOM,372,"Iran, republica islamica del"
PAISCOM,375,Irlanda (eire)
PAISCOM,379,Islandia
PAISCOM,383,Israel
PAISCOM,386,Italia
PAISCOM,391,Jamaica
PAISCOM,399,Japon
PAISCOM,403,Jordania
PAISCOM,406,Kazajstan
PAISCOM,410,Kenia
PAISCOM,411,Kiribati
PAISCOM,412,Kirguizistan
PAISCOM,413,Kuwait
PAISCOM,420,"Laos, republica popular democratica de"
PAISCOM,426,Lesotho
PAISCOM,429,Letonia
PAISCOM,431,Libano
PAISCOM,434,Liberia
PAISCOM,438,Libia (incluye fezzan)
PAISCOM,440,Liechtenstein
PAISCOM,443,Lituania
PAISCOM,445,Luxemburgo
PAISCOM,447,Macao
PAISCOM,448,Macedonia
PAISCOM,450,Madagascar
PAISCOM,455,Malaysia
PAISCOM,458,Malawi
PAISCOM,461,Maldivas
PAISCOM,464,Mali
PAISCOM,467,Malta
PAISCOM,469,"Marianas del norte, islas"
PAISCOM,472,"Marshall, islas"
PAISCOM,474,Marruecos
PAISCOM,477,Martinica
PAISCOM,485,Mauricio
PAISCOM,488,Mauritania
PAISCOM,493,Mexico
PAISCOM,494,"Micronesia, estados federados de"
PAISCOM,496,Moldavia
PAISCOM,497,Mongolia
PAISCOM,498,Monaco
PAISCOM,501,"Monserrat, isla"
PAISCOM,505,Mozambique
PAISCOM,507,Namibia
PAISCOM,508,Nauru
PAISCOM,511,"Navidad (christmas), islas"
PAISCOM,517,Nepal
PAISCOM,521,Nicaragua
PAISCOM,525,Niger
PAISCOM,528,Nigeria
PAISCOM,531,"Niue, isla"
PAISCOM,535,"Norfolk, isla"
PAISCOM,538,Noruega
PAISCOM,542,Nueva caledonia
PAISCOM,545,Papuasia nueva guinea
PAISCOM,548,Nueva zelandia
PAISCOM,551,Vanuatu
PAISCOM,556,Oman
PAISCOM,566,"Pacifico, islas (usa)"
PAISCOM,573,Paises bajos (holanda)
PAISCOM,576,Pakistan
PAISCOM,578,"Palau, islas"
PAISCOM,580,Panama
PAISCOM,586,Paraguay
PAISCOM,589,Peru
PAISCOM,593,"Pitcairn, isla"
PAISCOM,599,Polinesia francesa
PAISCOM,603,Polonia
PAISCOM,607,Portugal
PAISCOM,611,Puerto rico
PAISCOM,618,Qatar
PAISCOM,628,Reino unido
PAISCOM,640,Republica centroafricana
PAISCOM,644,Republica checa
PAISCOM,647,Republica dominicana
PAISCOM,660,Reunion
PAISCOM,665,Zimbabwe
PAISCOM,670,Rumania
PAISCOM,675,Ruanda
PAISCOM,676,Rusia
PAISCOM,677,"Salomon, islas"
PAISCOM,685,Sahara occidental
PAISCOM,687,Samoa
PAISCOM,690,Samoa norteamericana
PAISCOM,695,San cristobal y nieves
PAISCOM,697,San marino
PAISCOM,700,San pedro y miguelon
PAISCOM,705,San vicente y las granadinas
PAISCOM,710,Santa elena
PAISCOM,715,Santa lucia
PAISCOM,720,Santo tome y principe
PAISCOM,728,Senegal
PAISCOM,729,         SERBIA
PAISCOM,731,Seychelles
PAISCOM,735,Sierra leona
PAISCOM,741,Singapur
PAISCOM,744,"Siria, republica arabe de"
PAISCOM,748,Somalia
PAISCOM,750,Sri lanka
PAISCOM,756,"Sudafrica, republica de"
PAISCOM,759,Sudan
PAISCOM,764,Suecia
PAISCOM,767,Suiza
PAISCOM,770,Surinam
PAISCOM,773,Swazilandia
PAISCOM,774,Tadjikistan
PAISCOM,776,Tailandia
PAISCOM,780,"Tanzania, republica unida de"
PAISCOM,783,Djibouti
PAISCOM,787,Territorio britanico del oceano indico
PAISCOM,788,Timor del este
PAISCOM,800,Togo
PAISCOM,805,Tokelau
PAISCOM,810,Tonga
PAISCOM,815,Trinidad y tobago
PAISCOM,820,Tunicia
PAISCOM,823,"Turcas y caicos, islas"
PAISCOM,825,Turkmenistan
PAISCOM,827,Turquia
PAISCOM,828,Tuvalu
PAISCOM,830,Ucrania
PAISCOM,833,Uganda
PAISCOM,845,Uruguay
PAISCOM,847,Uzbekistan
PAISCOM,850,Venezuela
PAISCOM,855,Vietnam
PAISCOM,863,"Virgenes, islas (britanicas)"
PAISCOM,866,"Virgenes, islas (norteamericanas)"
PAISCOM,870,Fiji
PAISCOM,875,"Wallis y fortuna, islas"
PAISCOM,880,Yemen
PAISCOM,885,Yugoslavia
PAISCOM,888,Zaire
PAISCOM,890,Zambia
PAISCOM,897,Zona neutral palestina
PAISCOM,911,Zona franca de barranquilla
PAISCOM,912,Zona franca de buenaventura
PAISCOM,913,Zona franca de palmaseca - cali
PAISCOM,914,Zona franca de cucuta
PAISCOM,915,Zona franca de santa marta
